id;parameter_name;description;regex_id
3;experimentType;Тип эксперимента;
4;requestId;Идентификатор заявки;
5;downloadUrl;Ссылка на скачивание результатов эксперимента;
6;timeout;Таймаут для эксперимента;1
7;tfaCode;Код двухфакторной аутентификации;
8;userName;Логин пользователя;
9;password;Пароль пользователя;
24;validityHours;Время действия ссылки в часах;1
11;validityMinutes;Время действия ссылки в минутах;1
10;resetPasswordUrl;Ссылка на сброс пароля;
30;newEmail;Новый почтовый адрес;
31;confirmationCode;Код подтверждения;
39;revokeChangeEmailRequestUrl;Ссылка для отмены изменения email;
