id;title;enabled;audit_group_id
ADD_CONFIGURATION;Добавление новой конфигурации с настройками классификаторов;true;CLASSIFIERS_CONFIGURATIONS_ACTIONS
RENAME_CONFIGURATION;Изменение названия конфигурации с настройками классификаторов;true;CLASSIFIERS_CONFIGURATIONS_ACTIONS
DELETE_CONFIGURATION;Удаление конфигурации с настройками классификаторов;true;CLASSIFIERS_CONFIGURATIONS_ACTIONS
SET_ACTIVE_CONFIGURATION;Установка активной конфигурации с настройками классификаторов;true;CLASSIFIERS_CONFIGURATIONS_ACTIONS
COPY_CONFIGURATION;Создание копии конфигурации с настройками классификаторов;true;CLASSIFIERS_CONFIGURATIONS_ACTIONS
ADD_CLASSIFIER_OPTIONS;Добавление настроек классификатора в конфигурацию;true;CLASSIFIERS_CONFIGURATIONS_ACTIONS
DELETE_CLASSIFIER_OPTIONS;Удаление настроек классификатора из конфигурации;true;CLASSIFIERS_CONFIGURATIONS_ACTIONS
GENERATE_CONFIGURATION_REPORT;Выгрузка отчета по конфигурации с настройками классификаторов;true;CLASSIFIERS_CONFIGURATIONS_ACTIONS
CREATE_EXPERIMENT_REQUEST;Создание заявки на эксперимент;true;EVALUATION_REQUESTS_ACTIONS
GENERATE_EVALUATION_REQUESTS_REPORT;Выгрузка отчета по заявкам;true;EVALUATION_REQUESTS_ACTIONS
