id;_label;_value;filter_dictionary_id
2;Использование обучающего множества;TRAINING_DATA;1
3;V-блочная кросс-проверка;CROSS_VALIDATION;1
5;Новая;NEW;2
6;Завершена;FINISHED;2
7;Ошибка;ERROR;2
8;Таймаут;TIMEOUT;2
9;Прервана;CANCELED;2
10;Нейронные сети;NEURAL_NETWORKS;3
13;Алгоритм AdaBoost;ADA_BOOST;3
14;Алгоритм Stacking;STACKING;3
16;Случайные леса;RANDOM_FORESTS;3
17;Алгоритм Stacking CV;STACKING_CV;3
18;Деревья решений;DECISION_TREE;3
11;Неоднородный ансамбль;HETEROGENEOUS_ENSEMBLE;3
12;Мод. неоднородный ансамбль;MODIFIED_HETEROGENEOUS_ENSEMBLE;3
15;Алгоритм KNN;KNN;3
27;В работе;IN_PROGRESS;2
28;Алгоритм CART;CART;5
29;Алгоритм C4.5;C45;5
30;Алгоритм ID3;ID3;5
31;Алгоритм CHAID;CHAID;5
32;Алгоритм J48;J48;5
33;Нейронная сеть (Многослойный персептрон);NeuralNetwork;5
34;Алгоритм k - взвешенных ближайших соседей;KNearestNeighbours;5
35;Логистическая регрессия;Logistic;5
36;Алгоритм AdaBoost;AdaBoostClassifier;5
37;Неоднородный ансамблевый алгоритм;HeterogeneousClassifier;5
38;Модифицированный неоднородный ансамблевый алгоритм;ModifiedHeterogeneousClassifier;5
39;Алгоритм Stacking;StackingClassifier;5
40;Алгоритм Случайные леса;RandomForests;5
41;Алгоритм Extra trees;ExtraTreesClassifier;5
42;Алгоритм Случайные сети;RandomNetworks;5
43;Создана новая конфигурация;CREATE_CONFIGURATION;6
44;Данные конфигурации изменены;UPDATE_CONFIGURATION;6
45;Конфигурация сделана активной;SET_ACTIVE;6
46;Конфигурация перестала быть активной;DEACTIVATE;6
47;Добавлены новые настройки классификатора;ADD_CLASSIFIER_OPTIONS;6
48;Удалены настройки классификатора;REMOVE_CLASSIFIER_OPTIONS;6
